"name","Freq"
"",63
"angel",5
"banjo",1
"basking",7
"been",1
"black finned",1
"blacktail reef",1
"blacktip",55
"blacktip reef",11
"blacktip sandbar",1
"blacktip spinner",23
"blactip spinner",1
"blind brown",1
"blue",47
"blue nose",2
"blue porbeagle",1
"bluenose",1
"bonita",1
"bonito",1
"broadnose sevengill",2
"bronze whale",1
"bronze whaler",63
"brown",2
"bull",138
"bull lemon",1
"bull tiger",4
"captive",2
"caribbean reef",16
"carlsmith",1
"carpet",8
"cocktail",1
"colored",2
"cookie cutter",2
"copper",7
"dead blue",1
"description",1
"dusky",8
"dusky blacktip",2
"female white",1
"gaffed",1
"galapagos",4
"galapgos",1
"goblin",1
"gray",7
"gray colored",1
"gray nurse",39
"gray reef",17
"great hammerhead",1
"ground",1
"hammerhead",37
"hammerhead bonnethed",1
"hooked",1
"horn",1
"identified carcharhinid",1
"incident reported",1
"involve blacktip",1
"involve bull",4
"involve hammerhead",2
"involve mako",2
"involve tiger",5
"involve white",12
"involve zambesi",6
"juvenile dusky",2
"juvenile hammerhead",1
"juvenile tiger",1
"juvenile white",1
"large",2
"large hammerhead",1
"large mako",1
"large tiger",3
"large white",2
"lemon",28
"leopard",2
"likely small",1
"little",1
"longfin mako",1
"mako",43
"mouth",1
"number",1
"nurse",47
"oceanic whitetip",20
"pack",1
"partial remains",1
"porbeagle",5
"porbeagle mako",1
"porbeagle white",1
"port jackson",1
"possible white",1
"possibly blacktip",1
"possibly blue",1
"possibly bull",5
"possibly dusky",1
"possibly hammerhead",1
"possibly larger",1
"possibly lemon",1
"possibly mako",1
"possibly porbeagle",1
"possibly sand",2
"possibly spinner",4
"possibly tiger",2
"possibly white",5
"possiby white",1
"pregnant sandbar",1
"probable bull",2
"raggedtooth",45
"reef",13
"remains recovered",1
"salmon",3
"same",1
"sand",18
"sand tiger",19
"sandbar",4
"scalloped hammerhead",1
"school",2
"sevengill",15
"several",1
"shark",3
"shark spinner",1
"shortfin mako",4
"shot white",1
"shovelnose",2
"silky",4
"silvertip",2
"sixgill sevengill",1
"slim brown",1
"small blacktip",6
"small blue",1
"small brown",1
"small bull",3
"small carpet",1
"small hammerhead",3
"small nurse",2
"small reef",1
"small sand",1
"small spinner",1
"soupfin",1
"species",1
"spinner",15
"spinner blacktip",2
"spinner bull",1
"spotted",2
"starry smoothhound",1
"tawney nurse",1
"tawny nurse",1
"thresher",3
"thresher blue",1
"tiger",241
"unidentified",1
"very large",1
"whale",2
"whaler",7
"white",591
"whitetip reef",5
"whtietip reef",1
"wobbegong",44
"zambesi",30
