"name","freq"
"10' blue whaler",1
"15cm 20cm to bite just below left knee",1
"16' whaler",1
"6' dogfish",1
"angel shark",5
"authenticated",1
"banjo shark",1
"barracuda shark",1
"basking shark",7
"black finned shark",1
"blacktail reef shark",1
"blacktip",2
"blacktip reef",2
"blacktip reef shark",10
"blacktip sandbar shark",1
"blacktip shark",57
"blacktip shark bamboo cat shark",1
"blacktip shark caribbean reef shark",1
"blacktip shark spinner shark",1
"blacktip spinner shark",22
"blactip spinner shark",1
"blind brown shark",1
"blue",4
"blue nose shark",2
"blue pointer",7
"blue porbeagle shark",1
"blue shark",36
"blue shark blue shark",1
"blue whaler"" galeolamna",1
"bluefish bite",1
"bluenose shark",1
"bonita shark",1
"broadnose sevengill shark",2
"bronze whale shark",1
"bronze whaler",3
"bronze whaler shark",58
"brown shark",2
"bull lemon shark",1
"bull shark",151
"bull shark bull shark",1
"bull shark caribbean reef shark",2
"bull shark lemon shark",1
"bull shark photographs shark",1
"bull shark tiger shark",2
"bull tiger shark",5
"c gangeticus j fayrer",1
"c leucas",2
"captive shark",1
"captive shark shark",1
"carcharhinid shark",1
"carcharinid shark schultz mako shark",1
"caribbean reef shark",14
"carlsmith shark",1
"carpet shark",8
"cat shark",1
"cocktail shark",1
"colored shark",5
"comrades saw shark",1
"considered doubtful""",1
"cookie cutter shark",2
"copper shark",6
"cow shark",1
"dead blue shark",1
"dog shark",6
"dooley his injury stingray dasyatidae family",1
"doubtful unconfirmed / unable verify local records",1
"dusky blacktip shark",2
"dusky shark",11
"dusky shark blackfin shark",1
"dusky shark dusky shark",1
"dusky shark young shark",1
"eye shark",1
"fish harpooned presented sailor who went round europe exhibiting was said 20' long",1
"for shark pregnant sandbar shark",1
"gaffed shark",1
"galapagos shark",4
"galapgos shark",1
"goblin shark",1
"gray",2
"gray colored shark",1
"gray nurse shark",40
"gray reef shark",16
"gray reef shark gray reef shark",1
"gray shark",3
"great hammerhead shark",1
"ground shark",1
"hammerhead",2
"hammerhead bonnethed shark",1
"hammerhead shark",41
"hammerhead shark other shark",1
"hammerhead sp",1
"hooked shark",1
"horn shark",1
"larger shark",1
"lemon shark",28
"lemon shark bull shark",1
"lemon shark lemon shark",2
"lemon shark sand tiger shark",1
"leopard shark",2
"leopard shark probably tiger shark",1
"less 4'",1
"lesser spotted dogfish scyliorhinus canicula less 80cm length",1
"leucas tooth recovered kayak",1
"longfin mako shark",1
"macrurus captured hours attack tissue removed man gut identified p whitley c obscurus steel",1
"maculpinnis limbatus",1
"mako shark",45
"mako shark bonito shark",1
"may been shark",1
"media shark shark",1
"mouth shark",1
"number shark",1
"numerous dusky shark tiger shark",1
"nurse shark",47
"nurse shark clark shark",1
"oceanic whitetip shark",20
"oceanic whitetip shark blue shark tiger shark bull shark",1
"oceanic whitetip shark white shark",1
"old white shark",1
"pack shark",1
"partial shark",1
"porbeagle",1
"porbeagle mako shark",1
"porbeagle shark",6
"porbeagle white shark",1
"port jackson shark",1
"possible white shark",1
"possiby white shark",1
"questionable",4
"raggedtooth shark",44
"recovered day",1
"recovered shark",1
"red shark",1
"reef shark",13
"reef shark colored shark",1
"reported shark",1
"salmon shark",3
"same shark",1
"sand",3
"sand shark",17
"sand tiger shark",19
"sandbar dusky shark",1
"sandbar shark",4
"sandbar shark blacktip shark",1
"scalloped hammerhead shark",1
"school shark",2
"sevengill shark",15
"several shark",1
"shark oceanic whitetip shark",2
"shark shark",3
"shark spinner shark",1
"shortfin mako shark",4
"shot white shark",1
"shovelnose guitarfish",1
"shovelnose guitarfish adult male",1
"shovelnose shark",2
"silky shark",4
"silvertip shark",2
"six zambesi shark",1
"sixgill sevengill shark",1
"slim brown shark",1
"small shark",1
"soupfin shark",1
"spinner blacktip shark",2
"spinner bull shark",1
"spinner shark",18
"spinner shark blacktip shark",1
"spotted cat shark",1
"spurdog",1
"starry smoothhound shark",1
"tawney nurse shark",1
"tawny nurse shark",1
"thresher blue shark",1
"thresher shark",3
"tiger shark",247
"tiger shark bull shark",1
"tiger shark hammerhead shark",1
"tintorero",1
"to",1
"to c albimarginatus",1
"tooth recovered hull",1
"two shark",2
"unconfirmed",1
"unidentified",12
"unidentified shark",1
"unknown",1
"unknown shark",1
"very shark",1
"whale",1
"whale shark",2
"whaler shark",6
"whaler shark bull shark",1
"whaler tiger shark",1
"whiptail shark thresher shark",1
"white shark",591
"white shark authorities shark",1
"white shark blue shark",1
"white shark oceanic whitetip shark",1
"white shark photograph captured shark",1
"white shark sevengill shark",2
"white shark smaller shark",1
"white shark thresher shark",1
"white shark white shark",2
"whitetip reef shark",5
"whtietip reef shark",1
"wobbegong",3
"wobbegong shark",41
"young shark",1
"zambesi shark",34
